slug,start_date,variant_name,base_price_inr,target_discounted_price_inr,proposed_discount_amount_inr,result_price_inr
summer-spiti,2026-09-19,Double Sharing,19500,19000,500,19000
summer-spiti,2026-09-19,Quad Sharing,17500,16500,1000,16500
summer-spiti,2026-09-19,Triple Sharing,18500,17500,1000,17500
summer-spiti,2026-09-26,Double Sharing,19500,19000,500,19000
summer-spiti,2026-09-26,Quad Sharing,17500,16500,1000,16500
summer-spiti,2026-09-26,Triple Sharing,18500,17500,1000,17500
summer-spiti,2026-10-03,Double Sharing,19500,19000,500,19000
summer-spiti,2026-10-03,Quad Sharing,17500,16500,1000,16500
summer-spiti,2026-10-03,Triple Sharing,18500,17500,1000,17500
summer-spiti,2026-10-10,Double Sharing,19500,19000,500,19000
summer-spiti,2026-10-10,Quad Sharing,17500,16500,1000,16500
summer-spiti,2026-10-10,Triple Sharing,18500,17500,1000,17500
summer-spiti,2026-10-17,Double Sharing,19500,19000,500,19000
summer-spiti,2026-10-17,Quad Sharing,17500,16500,1000,16500
summer-spiti,2026-10-17,Triple Sharing,18500,17500,1000,17500
sangla-holi-special,2026-02-28,Double Sharing,16000,15000,1000,15000
sangla-holi-special,2026-02-28,Quad Sharing,14000,13000,1000,13000
sangla-holi-special,2026-02-28,Triple Sharing,15000,14000,1000,14000
kedarnath-yatra,2026-04-24,Double Sharing,14000,12000,2000,12000
kedarnath-yatra,2026-04-24,Quad Sharing,12000,10000,2000,10000
kedarnath-yatra,2026-04-24,Triple Sharing,13000,11000,2000,11000
kedarnath-yatra,2026-05-01,Double Sharing,14000,12000,2000,12000
kedarnath-yatra,2026-05-01,Quad Sharing,12000,10000,2000,10000
kedarnath-yatra,2026-05-01,Triple Sharing,13000,11000,2000,11000
kedarnath-yatra,2026-05-08,Double Sharing,14000,12000,2000,12000
kedarnath-yatra,2026-05-08,Quad Sharing,12000,10000,2000,10000
kedarnath-yatra,2026-05-08,Triple Sharing,13000,11000,2000,11000
kedarnath-yatra,2026-05-15,Double Sharing,14000,12000,2000,12000
kedarnath-yatra,2026-05-15,Quad Sharing,12000,10000,2000,10000
kedarnath-yatra,2026-05-15,Triple Sharing,13000,11000,2000,11000
kedarnath-yatra,2026-05-22,Double Sharing,14000,12000,2000,12000
kedarnath-yatra,2026-05-22,Quad Sharing,12000,10000,2000,10000
kedarnath-yatra,2026-05-22,Triple Sharing,13000,11000,2000,11000
kedarnath-yatra,2026-05-29,Double Sharing,14000,12000,2000,12000
kedarnath-yatra,2026-05-29,Quad Sharing,12000,10000,2000,10000
kedarnath-yatra,2026-05-29,Triple Sharing,13000,11000,2000,11000
kedarnath-yatra,2026-06-05,Double Sharing,14000,12000,2000,12000
kedarnath-yatra,2026-06-05,Quad Sharing,12000,10000,2000,10000
kedarnath-yatra,2026-06-05,Triple Sharing,13000,11000,2000,11000
kedarnath-yatra,2026-06-12,Double Sharing,14000,12000,2000,12000
kedarnath-yatra,2026-06-12,Quad Sharing,12000,10000,2000,10000
kedarnath-yatra,2026-06-12,Triple Sharing,13000,11000,2000,11000
kedarnath-yatra,2026-06-19,Double Sharing,14000,12000,2000,12000
kedarnath-yatra,2026-06-19,Quad Sharing,12000,10000,2000,10000
kedarnath-yatra,2026-06-19,Triple Sharing,13000,11000,2000,11000
kedarnath-yatra,2026-06-26,Double Sharing,14000,12000,2000,12000
kedarnath-yatra,2026-06-26,Quad Sharing,12000,10000,2000,10000
kedarnath-yatra,2026-06-26,Triple Sharing,13000,11000,2000,11000
kedarnath-yatra,2026-07-03,Double Sharing,14000,12000,2000,12000
kedarnath-yatra,2026-07-03,Quad Sharing,12000,10000,2000,10000
kedarnath-yatra,2026-07-03,Triple Sharing,13000,11000,2000,11000
kedarnath-yatra,2026-07-10,Double Sharing,14000,12000,2000,12000
kedarnath-yatra,2026-07-10,Quad Sharing,12000,10000,2000,10000
kedarnath-yatra,2026-07-10,Triple Sharing,13000,11000,2000,11000
kedarnath-yatra,2026-07-17,Double Sharing,14000,12000,2000,12000
kedarnath-yatra,2026-07-17,Quad Sharing,12000,10000,2000,10000
kedarnath-yatra,2026-07-17,Triple Sharing,13000,11000,2000,11000
kedarnath-yatra,2026-07-24,Double Sharing,14000,12000,2000,12000
kedarnath-yatra,2026-07-24,Quad Sharing,12000,10000,2000,10000
kedarnath-yatra,2026-07-24,Triple Sharing,13000,11000,2000,11000
kedarnath-yatra,2026-07-31,Double Sharing,14000,12000,2000,12000
kedarnath-yatra,2026-07-31,Quad Sharing,12000,10000,2000,10000
kedarnath-yatra,2026-07-31,Triple Sharing,13000,11000,2000,11000
kedarnath-yatra,2026-08-07,Double Sharing,14000,12000,2000,12000
kedarnath-yatra,2026-08-07,Quad Sharing,12000,10000,2000,10000
kedarnath-yatra,2026-08-07,Triple Sharing,13000,11000,2000,11000
kedarnath-yatra,2026-08-14,Double Sharing,14000,12000,2000,12000
kedarnath-yatra,2026-08-14,Quad Sharing,12000,10000,2000,10000
kedarnath-yatra,2026-08-14,Triple Sharing,13000,11000,2000,11000
kedarnath-yatra,2026-08-21,Double Sharing,14000,12000,2000,12000
kedarnath-yatra,2026-08-21,Quad Sharing,12000,10000,2000,10000
kedarnath-yatra,2026-08-21,Triple Sharing,13000,11000,2000,11000
kedarnath-yatra,2026-08-28,Double Sharing,14000,12000,2000,12000
kedarnath-yatra,2026-08-28,Quad Sharing,12000,10000,2000,10000
kedarnath-yatra,2026-08-28,Triple Sharing,13000,11000,2000,11000
kedarnath-yatra,2026-09-04,Double Sharing,14000,12000,2000,12000
kedarnath-yatra,2026-09-04,Quad Sharing,12000,10000,2000,10000
kedarnath-yatra,2026-09-04,Triple Sharing,13000,11000,2000,11000
kedarnath-yatra,2026-09-11,Double Sharing,14000,12000,2000,12000
kedarnath-yatra,2026-09-11,Quad Sharing,12000,10000,2000,10000
kedarnath-yatra,2026-09-11,Triple Sharing,13000,11000,2000,11000
kedarnath-yatra,2026-09-18,Double Sharing,14000,12000,2000,12000
kedarnath-yatra,2026-09-18,Quad Sharing,12000,10000,2000,10000
kedarnath-yatra,2026-09-18,Triple Sharing,13000,11000,2000,11000
kedarnath-yatra,2026-09-25,Double Sharing,14000,12000,2000,12000
kedarnath-yatra,2026-09-25,Quad Sharing,12000,10000,2000,10000
kedarnath-yatra,2026-09-25,Triple Sharing,13000,11000,2000,11000
kedarnath-yatra,2026-10-02,Double Sharing,14000,12000,2000,12000
kedarnath-yatra,2026-10-02,Quad Sharing,12000,10000,2000,10000
kedarnath-yatra,2026-10-02,Triple Sharing,13000,11000,2000,11000
kedarnath-yatra,2026-10-09,Double Sharing,14000,12000,2000,12000
kedarnath-yatra,2026-10-09,Quad Sharing,12000,10000,2000,10000
kedarnath-yatra,2026-10-09,Triple Sharing,13000,11000,2000,11000
teen-taal-with-gopuranjan-4n,2026-05-29,Double Sharing,15500,16500,0,15500
teen-taal-with-gopuranjan-4n,2026-05-29,Triple Sharing,15000,15500,0,15000
teen-taal-with-gopuranjan-4n,2026-06-05,Double Sharing,15500,16500,0,15500
teen-taal-with-gopuranjan-4n,2026-06-05,Triple Sharing,15000,15500,0,15000
teen-taal-with-gopuranjan-4n,2026-06-12,Double Sharing,15500,16500,0,15500
teen-taal-with-gopuranjan-4n,2026-06-12,Triple Sharing,15000,15500,0,15000
teen-taal-with-gopuranjan-4n,2026-06-19,Double Sharing,15500,16500,0,15500
teen-taal-with-gopuranjan-4n,2026-06-19,Triple Sharing,15000,15500,0,15000
teen-taal-with-gopuranjan-4n,2026-06-26,Double Sharing,15500,16500,0,15500
teen-taal-with-gopuranjan-4n,2026-06-26,Triple Sharing,15000,15500,0,15000
teen-taal-with-gopuranjan-4n,2026-07-03,Double Sharing,15500,16500,0,15500
teen-taal-with-gopuranjan-4n,2026-07-03,Triple Sharing,15000,15500,0,15000
teen-taal-with-gopuranjan-4n,2026-07-10,Double Sharing,15500,16500,0,15500
teen-taal-with-gopuranjan-4n,2026-07-10,Triple Sharing,15000,15500,0,15000
teen-taal-with-gopuranjan-4n,2026-07-17,Double Sharing,15500,16500,0,15500
teen-taal-with-gopuranjan-4n,2026-07-17,Triple Sharing,15000,15500,0,15000
teen-taal-with-gopuranjan-4n,2026-07-24,Double Sharing,15500,16500,0,15500
teen-taal-with-gopuranjan-4n,2026-07-24,Triple Sharing,15000,15500,0,15000
teen-taal-with-gopuranjan-4n,2026-07-31,Double Sharing,15500,16500,0,15500
teen-taal-with-gopuranjan-4n,2026-07-31,Triple Sharing,15000,15500,0,15000
teen-taal-with-gopuranjan-4n,2026-08-07,Double Sharing,15500,16500,0,15500
teen-taal-with-gopuranjan-4n,2026-08-07,Triple Sharing,15000,15500,0,15000
teen-taal-with-gopuranjan-4n,2026-08-14,Double Sharing,15500,16500,0,15500
teen-taal-with-gopuranjan-4n,2026-08-14,Triple Sharing,15000,15500,0,15000
teen-taal-with-gopuranjan-4n,2026-08-21,Double Sharing,15500,16500,0,15500
teen-taal-with-gopuranjan-4n,2026-08-21,Triple Sharing,15000,15500,0,15000
teen-taal-with-gopuranjan-4n,2026-08-28,Double Sharing,15500,16500,0,15500
teen-taal-with-gopuranjan-4n,2026-08-28,Triple Sharing,15000,15500,0,15000
teen-taal-with-gopuranjan-4n,2026-09-04,Double Sharing,15500,16500,0,15500
teen-taal-with-gopuranjan-4n,2026-09-04,Triple Sharing,15000,15500,0,15000
teen-taal-with-gopuranjan-4n,2026-09-11,Double Sharing,15500,16500,0,15500
teen-taal-with-gopuranjan-4n,2026-09-11,Triple Sharing,15000,15500,0,15000
teen-taal-with-gopuranjan-4n,2026-09-18,Double Sharing,15500,16500,0,15500
teen-taal-with-gopuranjan-4n,2026-09-18,Triple Sharing,15000,15500,0,15000
teen-taal-with-gopuranjan-4n,2026-09-25,Double Sharing,15500,16500,0,15500
teen-taal-with-gopuranjan-4n,2026-09-25,Triple Sharing,15000,15500,0,15000
teen-taal-with-gopuranjan-4n,2026-10-02,Double Sharing,15500,16500,0,15500
teen-taal-with-gopuranjan-4n,2026-10-02,Triple Sharing,15000,15500,0,15000
teen-taal-with-gopuranjan-4n,2026-10-09,Double Sharing,15500,16500,0,15500
teen-taal-with-gopuranjan-4n,2026-10-09,Triple Sharing,15000,15500,0,15000
teen-taal-with-gopuranjan-4n,2026-10-16,Double Sharing,15500,16500,0,15500
teen-taal-with-gopuranjan-4n,2026-10-16,Triple Sharing,15000,15500,0,15000
manali-with-chandrataal-2n,2026-05-29,Double Sharing,11500,11000,500,11000
manali-with-chandrataal-2n,2026-05-29,Triple Sharing,10500,10000,500,10000
manali-with-chandrataal-2n,2026-06-05,Double Sharing,11500,11000,500,11000
manali-with-chandrataal-2n,2026-06-05,Triple Sharing,10500,10000,500,10000
manali-with-chandrataal-2n,2026-06-12,Double Sharing,11500,11000,500,11000
manali-with-chandrataal-2n,2026-06-12,Triple Sharing,10500,10000,500,10000
manali-with-chandrataal-2n,2026-06-19,Double Sharing,11500,11000,500,11000
manali-with-chandrataal-2n,2026-06-19,Triple Sharing,10500,10000,500,10000
manali-with-chandrataal-2n,2026-06-26,Double Sharing,11500,11000,500,11000
manali-with-chandrataal-2n,2026-06-26,Triple Sharing,10500,10000,500,10000
manali-with-chandrataal-2n,2026-07-03,Double Sharing,11500,11000,500,11000
manali-with-chandrataal-2n,2026-07-03,Triple Sharing,10500,10000,500,10000
manali-with-chandrataal-2n,2026-07-10,Double Sharing,11500,11000,500,11000
manali-with-chandrataal-2n,2026-07-10,Triple Sharing,10500,10000,500,10000
manali-with-chandrataal-2n,2026-07-17,Double Sharing,11500,11000,500,11000
manali-with-chandrataal-2n,2026-07-17,Triple Sharing,10500,10000,500,10000
manali-with-chandrataal-2n,2026-07-24,Double Sharing,11500,11000,500,11000
manali-with-chandrataal-2n,2026-07-24,Triple Sharing,10500,10000,500,10000
manali-with-chandrataal-2n,2026-07-31,Double Sharing,11500,11000,500,11000
manali-with-chandrataal-2n,2026-07-31,Triple Sharing,10500,10000,500,10000
manali-with-chandrataal-2n,2026-08-07,Double Sharing,11500,11000,500,11000
manali-with-chandrataal-2n,2026-08-07,Triple Sharing,10500,10000,500,10000
manali-with-chandrataal-2n,2026-08-14,Double Sharing,11500,11000,500,11000
manali-with-chandrataal-2n,2026-08-14,Triple Sharing,10500,10000,500,10000
manali-with-chandrataal-2n,2026-08-21,Double Sharing,11500,11000,500,11000
manali-with-chandrataal-2n,2026-08-21,Triple Sharing,10500,10000,500,10000
manali-with-chandrataal-2n,2026-08-28,Double Sharing,11500,11000,500,11000
manali-with-chandrataal-2n,2026-08-28,Triple Sharing,10500,10000,500,10000
manali-with-chandrataal-2n,2026-09-04,Double Sharing,11500,11000,500,11000
manali-with-chandrataal-2n,2026-09-04,Triple Sharing,10500,10000,500,10000
manali-with-chandrataal-2n,2026-09-11,Double Sharing,11500,11000,500,11000
manali-with-chandrataal-2n,2026-09-11,Triple Sharing,10500,10000,500,10000
manali-with-chandrataal-2n,2026-09-18,Double Sharing,11500,11000,500,11000
manali-with-chandrataal-2n,2026-09-18,Triple Sharing,10500,10000,500,10000
manali-with-chandrataal-2n,2026-09-25,Double Sharing,11500,11000,500,11000
manali-with-chandrataal-2n,2026-09-25,Triple Sharing,10500,10000,500,10000
manali-with-chandrataal-2n,2026-10-02,Double Sharing,11500,11000,500,11000
manali-with-chandrataal-2n,2026-10-02,Triple Sharing,10500,10000,500,10000
manali-with-chandrataal-2n,2026-10-09,Double Sharing,11500,11000,500,11000
manali-with-chandrataal-2n,2026-10-09,Triple Sharing,10500,10000,500,10000
manali-with-chandrataal-2n,2026-10-16,Double Sharing,11500,11000,500,11000
manali-with-chandrataal-2n,2026-10-16,Triple Sharing,10500,10000,500,10000
spiti-biking,2026-05-30,RE Himalayan Dual - Triple Sharing,29000,27000,2000,27000
spiti-biking,2026-05-30,RE Himalayan Solo - Triple Sharing,39000,37000,2000,37000
spiti-biking,2026-05-30,Self Bike - Triple Sharing,20000,19000,1000,19000
spiti-biking,2026-05-30,SIC (Seat in Coach) - Triple Sharing,22500,20000,2500,20000
spiti-biking,2026-06-06,RE Himalayan Dual - Triple Sharing,29000,27000,2000,27000
spiti-biking,2026-06-06,RE Himalayan Solo - Triple Sharing,39000,37000,2000,37000
spiti-biking,2026-06-06,Self Bike - Triple Sharing,20000,19000,1000,19000
spiti-biking,2026-06-06,SIC (Seat in Coach) - Triple Sharing,22500,20000,2500,20000
spiti-biking,2026-06-13,RE Himalayan Dual - Triple Sharing,29000,27000,2000,27000
spiti-biking,2026-06-13,RE Himalayan Solo - Triple Sharing,39000,37000,2000,37000
spiti-biking,2026-06-13,Self Bike - Triple Sharing,20000,19000,1000,19000
spiti-biking,2026-06-13,SIC (Seat in Coach) - Triple Sharing,22500,20000,2500,20000
spiti-biking,2026-06-20,RE Himalayan Dual - Triple Sharing,29000,27000,2000,27000
spiti-biking,2026-06-20,RE Himalayan Solo - Triple Sharing,39000,37000,2000,37000
spiti-biking,2026-06-20,Self Bike - Triple Sharing,20000,19000,1000,19000
spiti-biking,2026-06-20,SIC (Seat in Coach) - Triple Sharing,22500,20000,2500,20000
spiti-biking,2026-06-27,RE Himalayan Dual - Triple Sharing,29000,27000,2000,27000
spiti-biking,2026-06-27,RE Himalayan Solo - Triple Sharing,39000,37000,2000,37000
spiti-biking,2026-06-27,Self Bike - Triple Sharing,20000,19000,1000,19000
spiti-biking,2026-06-27,SIC (Seat in Coach) - Triple Sharing,22500,20000,2500,20000
spiti-biking,2026-07-04,RE Himalayan Dual - Triple Sharing,29000,27000,2000,27000
spiti-biking,2026-07-04,RE Himalayan Solo - Triple Sharing,39000,37000,2000,37000
spiti-biking,2026-07-04,Self Bike - Triple Sharing,20000,19000,1000,19000
spiti-biking,2026-07-04,SIC (Seat in Coach) - Triple Sharing,22500,20000,2500,20000
spiti-biking,2026-07-11,RE Himalayan Dual - Triple Sharing,29000,27000,2000,27000
spiti-biking,2026-07-11,RE Himalayan Solo - Triple Sharing,39000,37000,2000,37000
spiti-biking,2026-07-11,Self Bike - Triple Sharing,20000,19000,1000,19000
spiti-biking,2026-07-11,SIC (Seat in Coach) - Triple Sharing,22500,20000,2500,20000
spiti-biking,2026-07-18,RE Himalayan Dual - Triple Sharing,29000,27000,2000,27000
spiti-biking,2026-07-18,RE Himalayan Solo - Triple Sharing,39000,37000,2000,37000
spiti-biking,2026-07-18,Self Bike - Triple Sharing,20000,19000,1000,19000
spiti-biking,2026-07-18,SIC (Seat in Coach) - Triple Sharing,22500,20000,2500,20000
spiti-biking,2026-07-25,RE Himalayan Dual - Triple Sharing,29000,27000,2000,27000
spiti-biking,2026-07-25,RE Himalayan Solo - Triple Sharing,39000,37000,2000,37000
spiti-biking,2026-07-25,Self Bike - Triple Sharing,20000,19000,1000,19000
spiti-biking,2026-07-25,SIC (Seat in Coach) - Triple Sharing,22500,20000,2500,20000
spiti-biking,2026-08-01,RE Himalayan Dual - Triple Sharing,29000,27000,2000,27000
spiti-biking,2026-08-01,RE Himalayan Solo - Triple Sharing,39000,37000,2000,37000
spiti-biking,2026-08-01,Self Bike - Triple Sharing,20000,19000,1000,19000
spiti-biking,2026-08-01,SIC (Seat in Coach) - Triple Sharing,22500,20000,2500,20000
spiti-biking,2026-08-08,RE Himalayan Dual - Triple Sharing,29000,27000,2000,27000
spiti-biking,2026-08-08,RE Himalayan Solo - Triple Sharing,39000,37000,2000,37000
spiti-biking,2026-08-08,Self Bike - Triple Sharing,20000,19000,1000,19000
spiti-biking,2026-08-08,SIC (Seat in Coach) - Triple Sharing,22500,20000,2500,20000
spiti-biking,2026-08-15,RE Himalayan Dual - Triple Sharing,29000,27000,2000,27000
spiti-biking,2026-08-15,RE Himalayan Solo - Triple Sharing,39000,37000,2000,37000
spiti-biking,2026-08-15,Self Bike - Triple Sharing,20000,19000,1000,19000
spiti-biking,2026-08-15,SIC (Seat in Coach) - Triple Sharing,22500,20000,2500,20000
spiti-biking,2026-08-22,RE Himalayan Dual - Triple Sharing,29000,27000,2000,27000
spiti-biking,2026-08-22,RE Himalayan Solo - Triple Sharing,39000,37000,2000,37000
spiti-biking,2026-08-22,Self Bike - Triple Sharing,20000,19000,1000,19000
spiti-biking,2026-08-22,SIC (Seat in Coach) - Triple Sharing,22500,20000,2500,20000
spiti-biking,2026-08-29,RE Himalayan Dual - Triple Sharing,29000,27000,2000,27000
spiti-biking,2026-08-29,RE Himalayan Solo - Triple Sharing,39000,37000,2000,37000
spiti-biking,2026-08-29,Self Bike - Triple Sharing,20000,19000,1000,19000
spiti-biking,2026-08-29,SIC (Seat in Coach) - Triple Sharing,22500,20000,2500,20000
spiti-biking,2026-09-05,RE Himalayan Dual - Triple Sharing,29000,27000,2000,27000
spiti-biking,2026-09-05,RE Himalayan Solo - Triple Sharing,39000,37000,2000,37000
spiti-biking,2026-09-05,Self Bike - Triple Sharing,20000,19000,1000,19000
spiti-biking,2026-09-05,SIC (Seat in Coach) - Triple Sharing,22500,20000,2500,20000
spiti-biking,2026-09-12,RE Himalayan Dual - Triple Sharing,29000,27000,2000,27000
spiti-biking,2026-09-12,RE Himalayan Solo - Triple Sharing,39000,37000,2000,37000
spiti-biking,2026-09-12,Self Bike - Triple Sharing,20000,19000,1000,19000
spiti-biking,2026-09-12,SIC (Seat in Coach) - Triple Sharing,22500,20000,2500,20000
spiti-biking,2026-09-19,RE Himalayan Dual - Triple Sharing,29000,27000,2000,27000
spiti-biking,2026-09-19,RE Himalayan Solo - Triple Sharing,39000,37000,2000,37000
spiti-biking,2026-09-19,Self Bike - Triple Sharing,20000,19000,1000,19000
spiti-biking,2026-09-19,SIC (Seat in Coach) - Triple Sharing,22500,20000,2500,20000
spiti-biking,2026-09-26,RE Himalayan Dual - Triple Sharing,29000,27000,2000,27000
spiti-biking,2026-09-26,RE Himalayan Solo - Triple Sharing,39000,37000,2000,37000
spiti-biking,2026-09-26,Self Bike - Triple Sharing,20000,19000,1000,19000
spiti-biking,2026-09-26,SIC (Seat in Coach) - Triple Sharing,22500,20000,2500,20000
spiti-biking,2026-10-03,RE Himalayan Dual - Triple Sharing,29000,27000,2000,27000
spiti-biking,2026-10-03,RE Himalayan Solo - Triple Sharing,39000,37000,2000,37000
spiti-biking,2026-10-03,Self Bike - Triple Sharing,20000,19000,1000,19000
spiti-biking,2026-10-03,SIC (Seat in Coach) - Triple Sharing,22500,20000,2500,20000
spiti-biking,2026-10-10,RE Himalayan Dual - Triple Sharing,29000,27000,2000,27000
spiti-biking,2026-10-10,RE Himalayan Solo - Triple Sharing,39000,37000,2000,37000
spiti-biking,2026-10-10,Self Bike - Triple Sharing,20000,19000,1000,19000
spiti-biking,2026-10-10,SIC (Seat in Coach) - Triple Sharing,22500,20000,2500,20000
spiti-biking,2026-10-17,RE Himalayan Dual - Triple Sharing,29000,27000,2000,27000
spiti-biking,2026-10-17,RE Himalayan Solo - Triple Sharing,39000,37000,2000,37000
spiti-biking,2026-10-17,Self Bike - Triple Sharing,20000,19000,1000,19000
spiti-biking,2026-10-17,SIC (Seat in Coach) - Triple Sharing,22500,20000,2500,20000
leh-to-leh-with-umling-la-hanle-tso-moriri,2026-05-03,RE Himalayan - Pillion - Double Sharing,33000,30000,3000,30000
leh-to-leh-with-umling-la-hanle-tso-moriri,2026-05-03,RE Himalayan - Pillion - Triple Sharing,30000,27000,3000,27000
leh-to-leh-with-umling-la-hanle-tso-moriri,2026-05-03,RE Himalayan - Solo - Double Sharing,43000,40000,3000,40000
leh-to-leh-with-umling-la-hanle-tso-moriri,2026-05-03,RE Himalayan - Solo - Triple Sharing,40000,37000,3000,37000
leh-to-leh-with-umling-la-hanle-tso-moriri,2026-05-03,SIC (Seat in Coach) - Double Sharing,32000,30000,2000,30000
leh-to-leh-with-umling-la-hanle-tso-moriri,2026-05-03,SIC (Seat in Coach) - Triple Sharing,29000,27000,2000,27000
leh-to-leh-with-umling-la-hanle-tso-moriri,2026-05-10,RE Himalayan - Pillion - Double Sharing,33000,30000,3000,30000
leh-to-leh-with-umling-la-hanle-tso-moriri,2026-05-10,RE Himalayan - Pillion - Triple Sharing,30000,27000,3000,27000
leh-to-leh-with-umling-la-hanle-tso-moriri,2026-05-10,RE Himalayan - Solo - Double Sharing,43000,40000,3000,40000
leh-to-leh-with-umling-la-hanle-tso-moriri,2026-05-10,RE Himalayan - Solo - Triple Sharing,40000,37000,3000,37000
leh-to-leh-with-umling-la-hanle-tso-moriri,2026-05-10,SIC (Seat in Coach) - Double Sharing,32000,30000,2000,30000
leh-to-leh-with-umling-la-hanle-tso-moriri,2026-05-10,SIC (Seat in Coach) - Triple Sharing,29000,27000,2000,27000
leh-to-leh-with-umling-la-hanle-tso-moriri,2026-05-17,RE Himalayan - Pillion - Double Sharing,33000,30000,3000,30000
leh-to-leh-with-umling-la-hanle-tso-moriri,2026-05-17,RE Himalayan - Pillion - Triple Sharing,30000,27000,3000,27000
leh-to-leh-with-umling-la-hanle-tso-moriri,2026-05-17,RE Himalayan - Solo - Double Sharing,43000,40000,3000,40000
leh-to-leh-with-umling-la-hanle-tso-moriri,2026-05-17,RE Himalayan - Solo - Triple Sharing,40000,37000,3000,37000
leh-to-leh-with-umling-la-hanle-tso-moriri,2026-05-17,SIC (Seat in Coach) - Double Sharing,32000,30000,2000,30000
leh-to-leh-with-umling-la-hanle-tso-moriri,2026-05-17,SIC (Seat in Coach) - Triple Sharing,29000,27000,2000,27000
leh-to-leh-with-umling-la-hanle-tso-moriri,2026-05-26,RE Himalayan - Pillion - Double Sharing,33000,30000,3000,30000
leh-to-leh-with-umling-la-hanle-tso-moriri,2026-05-26,RE Himalayan - Pillion - Triple Sharing,30000,27000,3000,27000
leh-to-leh-with-umling-la-hanle-tso-moriri,2026-05-26,RE Himalayan - Solo - Double Sharing,43000,40000,3000,40000
leh-to-leh-with-umling-la-hanle-tso-moriri,2026-05-26,RE Himalayan - Solo - Triple Sharing,40000,37000,3000,37000
